# Sinusoidal end-effector reference trajectory
# amplitude_m    : 0.0200
# amplitude_cm   : 2.0
# n_waves        : 4
# ws_centre_m    : (0.42562, -0.24573)
# n_points       : 600
# arc_length_m   : 1.70465
# arc_length_cm  : 170.465
t,x_m,y_m,arc_length_m
0.3989983,0.4170759,-0.4212442,0.6930731
0.4006678,0.4190069,-0.4186302,0.6963231
0.4023372,0.4209116,-0.4160295,0.6995466
0.4040067,0.4227901,-0.4134437,0.7027427
0.4056761,0.4246427,-0.4108742,0.7059105
0.4073456,0.4264699,-0.4083223,0.7090490
0.4090150,0.4282719,-0.4057895,0.7121575
0.4106845,0.4300494,-0.4032769,0.7152352
0.4123539,0.4318029,-0.4007859,0.7182815
0.4140234,0.4335329,-0.3983175,0.7212958
0.4156928,0.4352403,-0.3958731,0.7242775
0.4173623,0.4369257,-0.3934535,0.7272262
0.4190317,0.4385900,-0.3910599,0.7301416
0.4207012,0.4402341,-0.3886931,0.7330234
0.4223706,0.4418589,-0.3863540,0.7358714
0.4240401,0.4434655,-0.3840435,0.7386856
0.4257095,0.4450549,-0.3817622,0.7414660
0.4273790,0.4466284,-0.3795108,0.7442127
0.4290484,0.4481871,-0.3772898,0.7469261
0.4307179,0.4497324,-0.3750996,0.7496065
0.4323873,0.4512655,-0.3729407,0.7522544
0.4340568,0.4527879,-0.3708133,0.7548704
0.4357262,0.4543010,-0.3687175,0.7574553
0.4373957,0.4558063,-0.3666534,0.7600100
0.4390651,0.4573054,-0.3646210,0.7625355
0.4407346,0.4588000,-0.3626200,0.7650331
0.4424040,0.4602916,-0.3606502,0.7675039
0.4440735,0.4617819,-0.3587112,0.7699495
0.4457429,0.4632726,-0.3568023,0.7723715
0.4474124,0.4647656,-0.3549230,0.7747716
0.4490818,0.4662625,-0.3530725,0.7771518
0.4507513,0.4677651,-0.3512497,0.7795141
0.4524207,0.4692752,-0.3494536,0.7818606
0.4540902,0.4707946,-0.3476831,0.7841937
0.4557596,0.4723250,-0.3459366,0.7865158
0.4574290,0.4738681,-0.3442128,0.7888295
0.4590985,0.4754257,-0.3425099,0.7911373
0.4607679,0.4769994,-0.3408262,0.7934419
0.4624374,0.4785908,-0.3391597,0.7957462
0.4641068,0.4802014,-0.3375083,0.7980529
0.4657763,0.4818327,-0.3358699,0.8003649
0.4674457,0.4834859,-0.3342421,0.8026850
0.4691152,0.4851623,-0.3326224,0.8050161
0.4707846,0.4868630,-0.3310083,0.8073608
0.4724541,0.4885889,-0.3293970,0.8097220
0.4741235,0.4903409,-0.3277858,0.8121022
0.4757930,0.4921195,-0.3261718,0.8145039
0.4774624,0.4939252,-0.3245521,0.8169296
0.4791319,0.4957583,-0.3229238,0.8193815
0.4808013,0.4976188,-0.3212838,0.8218616
0.4824708,0.4995066,-0.3196291,0.8243720
0.4841402,0.5014212,-0.3179567,0.8269141
0.4858097,0.5033620,-0.3162636,0.8294897
0.4874791,0.5053283,-0.3145470,0.8320998
0.4891486,0.5073188,-0.3128038,0.8347458
0.4908180,0.5093324,-0.3110315,0.8374282
0.4924875,0.5113674,-0.3092273,0.8401479
0.4941569,0.5134222,-0.3073888,0.8429051
0.4958264,0.5154948,-0.3055137,0.8457000
0.4974958,0.5175829,-0.3035997,0.8485326
0.4991653,0.5196843,-0.3016451,0.8514025
0.5008347,0.5217965,-0.2996481,0.8543093
0.5025042,0.5239168,-0.2976071,0.8572523
0.5041736,0.5260424,-0.2955211,0.8602305
0.5058431,0.5281704,-0.2933889,0.8632429
0.5075125,0.5302980,-0.2912100,0.8662882
0.5091820,0.5324220,-0.2889839,0.8693651
0.5108514,0.5345394,-0.2867103,0.8724720
0.5125209,0.5366472,-0.2843895,0.8756071
0.5141903,0.5387422,-0.2820217,0.8787687
0.5158598,0.5408214,-0.2796075,0.8819548
0.5175292,0.5428819,-0.2771478,0.8851635
0.5191987,0.5449207,-0.2746435,0.8883927
0.5208681,0.5469350,-0.2720961,0.8916403
0.5225376,0.5489221,-0.2695070,0.8949041
0.5242070,0.5508793,-0.2668777,0.8981818
0.5258765,0.5528041,-0.2642101,0.9014714
0.5275459,0.5546943,-0.2615061,0.9047705
0.5292154,0.5565476,-0.2587679,0.9080769
0.5308848,0.5583620,-0.2559976,0.9113886
0.5325543,0.5601356,-0.2531974,0.9147032
0.5342237,0.5618668,-0.2503698,0.9180186
0.5358932,0.5635538,-0.2475170,0.9213329
0.5375626,0.5651954,-0.2446416,0.9246440
0.5392321,0.5667903,-0.2417459,0.9279498
0.5409015,0.5683374,-0.2388324,0.9312486
0.5425710,0.5698358,-0.2359036,0.9345384
0.5442404,0.5712848,-0.2329619,0.9378176
0.5459098,0.5726838,-0.2300097,0.9410845
0.5475793,0.5740322,-0.2270493,0.9443375
0.5492487,0.5753297,-0.2240831,0.9475751
0.5509182,0.5765762,-0.2211133,0.9507959
0.5525876,0.5777715,-0.2181421,0.9539986
0.5542571,0.5789157,-0.2151715,0.9571819
0.5559265,0.5800090,-0.2122037,0.9603446
0.5575960,0.5810515,-0.2092405,0.9634859
0.5592654,0.5820437,-0.2062839,0.9666046
0.5609349,0.5829859,-0.2033355,0.9696999
0.5626043,0.5838789,-0.2003970,0.9727710
0.5642738,0.5847230,-0.1974702,0.9758172
0.5659432,0.5855191,-0.1945563,0.9788378
0.5676127,0.5862680,-0.1916568,0.9818325
0.5692821,0.5869704,-0.1887730,0.9848006
0.5709516,0.5876272,-0.1859060,0.9877418
0.5726210,0.5882394,-0.1830570,0.9906559
0.5742905,0.5888081,-0.1802269,0.9935425
0.5759599,0.5893342,-0.1774167,0.9964016
0.5776294,0.5898189,-0.1746270,0.9992331
0.5792988,0.5902632,-0.1718586,1.0020369
0.5809683,0.5906684,-0.1691121,1.0048131
0.5826377,0.5910357,-0.1663880,1.0075618
0.5843072,0.5913663,-0.1636867,1.0102833
0.5859766,0.5916614,-0.1610085,1.0129777
0.5876461,0.5919223,-0.1583536,1.0156454
0.5893155,0.5921503,-0.1557222,1.0182867
0.5909850,0.5923467,-0.1531143,1.0209020
0.5926544,0.5925129,-0.1505298,1.0234918
0.5943239,0.5926502,-0.1479687,1.0260566
0.5959933,0.5927599,-0.1454307,1.0285969
0.5976628,0.5928433,-0.1429157,1.0311134
0.5993322,0.5929019,-0.1404231,1.0336066
0.6010017,0.5929368,-0.1379527,1.0360773
0.6026711,0.5929496,-0.1355038,1.0385262
0.6043406,0.5929416,-0.1330760,1.0409540
0.6060100,0.5929140,-0.1306687,1.0433615
0.6076795,0.5928682,-0.1282811,1.0457495
0.6093489,0.5928056,-0.1259125,1.0481189
0.6110184,0.5927274,-0.1235622,1.0504705
0.6126878,0.5926350,-0.1212293,1.0528053
0.6143573,0.5925295,-0.1189128,1.0551242
0.6160267,0.5924124,-0.1166118,1.0574281
0.6176962,0.5922847,-0.1143254,1.0597181
0.6193656,0.5921478,-0.1120525,1.0619951
0.6210351,0.5920028,-0.1097920,1.0642603
0.6227045,0.5918508,-0.1075427,1.0665147
0.6243740,0.5916931,-0.1053036,1.0687594
0.6260434,0.5915306,-0.1030734,1.0709955
0.6277129,0.5913645,-0.1008509,1.0732242
0.6293823,0.5911958,-0.0986349,1.0754466
0.6310518,0.5910255,-0.0964241,1.0776639
0.6327212,0.5908545,-0.0942173,1.0798773
0.6343907,0.5906839,-0.0920131,1.0820881
